"Target","Ridom Usage","Ridom Exclusion Reason","location","gene","product","protein_id","note"
"Rv0001","Accessory","Gene had 2 top matching positions! (2nd best match 29669..31192, E-value: 0.0, identity: 99.93438, overlap: 100.0)","1..1524","dnaA","Chromosomal replication initiator protein DnaA","NP_214515.1","Rv0001, (MT0001, MTV029.01, P49993), len: 507 aa. dnaA, chromosomal replication initiator protein (see citations below), equivalent to other Mycobacterial chromosomal replication initiator proteins. Also highly similar to others except in N-terminus e.g. Q9ZH75|DNAA_STRCH chromosomal replication initiator protein from Streptomyces chrysomallus (624 aa). Contains PS00017 ATP/GTP-binding site motif A (P-loop) and PS01008 DnaA protein signature. Belongs to the DnaA family. Note that the first base of this gene has been taken as base 1 of the Mycobacterium tuberculosis H37Rv genomic sequence."
"Rv0002","Accessory","Gene had 2 top matching positions! (2nd best match 31720..32928, E-value: 0.0, identity: 99.83457, overlap: 100.0)","2052..3260","dnaN","DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)","NP_214516.1","Rv0002, (MTV029.02, MTCY10H4.0), len: 402 aa. DnaN,DNA polymerase III (beta chain) (see citations below),equivalent to other Mycobacterial DNA polymerases III beta chain. Also highly similar to others e.g. P27903|DP3B_STRCO DNA polymerase III beta chain from Streptomyces coelicolor (376 aa). Overlaps and extends CDS in neighbouring cosmid MTCY10H4.01."
"Rv0003","Accessory","Gene had 2 top matching positions! (2nd best match 32948..34105, E-value: 0.0, identity: 99.827286, overlap: 100.0)","3280..4437","recF","DNA replication and repair protein RecF (single-strand DNA binding protein)","NP_214517.1","Rv0003, (MTCY10H4.01), len: 385 aa. RecF, DNA replication and repair protein (see citations below),equivalent to other mycobacterial DNA replication and repair proteins. Also highly similar to many others. Contains PS00017 ATP/GTP-binding site motif A (P-loop),PS00617 RecF protein signature 1, and PS00618 RecF protein signature 2. Belongs to the RecF family."
"Rv0004","Accessory","Gene had 2 top matching positions! (2nd best match 34102..34665, E-value: 6.15501E-261, identity: 100.0, overlap: 100.0)","4434..4997",,"hypothetical protein","NP_214518.1","Rv0004, (MTCY10H4.02), len: 187 aa. Conserved hypothetical protein (see Salazar et al., 1996). Belongs to superfamily DUF721; this family contains several actinomycete proteins of unknown function."
"Rv0005","Accessory","Gene had 2 top matching positions! (2nd best match 34908..36935, E-value: 0.0, identity: 99.85207, overlap: 100.0)","5240..7267","gyrB","DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)","NP_214519.2","Rv0005, (MTCY10H4.03), len: 675 aa. GyrB, DNA gyrase subunit B (see citations below). Contains PS00177 DNA topoisomerase II signature. Belongs to the type II topoisomerase family. Start changed since first submission (-39 aa)."
"Rv0006","Accessory","Gene had 2 top matching positions! (2nd best match 36970..39486, E-value: 0.0, identity: 99.72189, overlap: 100.0)","7302..9818","gyrA","DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)","NP_214520.1","Rv0006, (MTCY10H4.04), len: 838 aa. GyrA, DNA gyrase subunit A (see citations below). Contains PS00018 EF-hand calcium-binding domain."
"Rv0007","Accessory","Gene had 2 top matching positions! (2nd best match 39582..40496, E-value: 0.0, identity: 100.0, overlap: 100.0)","9914..10828",,"Possible conserved membrane protein","NP_214521.1","Rv0007, (MTCY10H4.05), len: 304 aa. Possible conserved membrane protein. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al.,2004)."
"Rv0008c","Accessory","Gene had 2 top matching positions! (2nd best match 41542..41979, E-value: 5.5356E-200, identity: 99.77169, overlap: 100.0)","11874..12311",,"Possible membrane protein","NP_214522.1","Rv0008c, (MTCY10H4.07c), len: 145 aa. Possible membrane protein."
"Rv0009","Accessory","Gene had 2 top matching positions! (2nd best match 42136..42684, E-value: 8.58039E-254, identity: 100.0, overlap: 100.0)","12468..13016","ppiA","Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)","NP_214523.1","Rv0009, (MTCY10H4.08), len: 182 aa. Probable ppiA (alternate gene name: cfp22), iron-regulated peptidyl-prolyl cis-trans isomerase A. Belongs to the cyclophilin-type PPIase family. Alternative start codon has been suggested."
"Rv0010c","Accessory","Gene had 2 top matching positions! (2nd best match 42801..43225, E-value: 1.68528E-189, identity: 99.29578, overlap: 100.0)","13133..13558",,"Probable conserved membrane protein","NP_214524.1","Rv0010c, (MTCY10H4.10c), len: 141 aa. Probable conserved membrane protein. Belongs to superfamily DUF2581,conserved in the Actinomycetales. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv0011c","Accessory","Gene had 2 top matching positions! (2nd best match 43381..43662, E-value: 1.01932E-126, identity: 100.0, overlap: 100.0)","13714..13995",,"Probable conserved transmembrane protein","NP_214525.1","Rv0011c, (MTCY10H4.11c), len: 93 aa. Probable conserved transmembrane protein. Belongs to uncharacterized protein family UPF0233. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al.,2004)."
"Rv0012","Accessory","Gene had 2 top matching positions! (2nd best match 43756..44544, E-value: 0.0, identity: 99.74651, overlap: 100.0)","14089..14877",,"Probable conserved membrane protein","NP_214526.1","Rv0012, (MTCY10H4.12), len: 262 aa. Probable conserved membrane protein. Belongs to superfamily DUF881. Contains probable N-terminal signal sequence."
"Rv0013","Accessory","Gene Rv0013 overlaps Rv0014c at 23 bases.","14914..15612","trpG","Possible anthranilate synthase component II TrpG (glutamine amidotransferase)","YP_177615.1","Rv0013, (MTCY10H4.13), len: 232 aa. Possible trpG,anthranilate synthase component II (glutamine amidotransferase). Contains PS00606 Beta-ketoacyl synthases active site; and PS00442 Glutamine amidotransferases class-I active site. Similarity to other type-1 glutamine amidotransferase domains. Note that previously known as pabA."
"Rv0014c","MLST+","-","15590..17470","pknB","Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)","NP_214528.1","Rv0014c, (MTCY10H4.14c), len: 626 aa. PknB,transmembrane serine/threonine-protein kinase (see citations below). Contains PS00107 Protein kinases ATP-binding region signature, and PS00108 Serine/Threonine protein kinases active-site signature. Contains Hank's kinase subdomain. Belongs to the Ser/Thr family of protein kinases. Experimental studies show evidence of auto-phosphorylation on serine/threonine residues. PknB has been shown to be a substrate for PstP and its kinase activity is affected by PstP-mediated dephosphorylation. PknB and PstP (Rv0018c) may act as a functional pair in vivo to control mycobacterial cell growth."
"Rv0015c","MLST+","-","17467..18762","pknA","Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)","NP_214529.1","Rv0015c, (MTCY10H4.15c), len: 431 aa. PknA,transmembrane serine/threonine-protein kinase,magnesium/manganese dependent (see citations below). Contains PS00108 Serine/Threonine protein kinases active-site signature. Contains Hank's kinase subdomain. Belongs to the Ser/Thr family of protein kinases. It has been shown that sodium orthovanadate inhibits the activity of the enzyme in vitro."
"Rv0016c","MLST+","-","18759..20234","pbpA","Probable penicillin-binding protein PbpA","NP_214530.1","Rv0016c, (MTCY10H4.16c), len: 491 aa. Probable pbpA,penicillin-binding protein, similar to many."
"Rv0017c","MLST+","-","20231..21640","rodA","Probable cell division protein RodA","NP_214531.1","Rv0017c, (MTCY10H4.17c), len: 469 aa. Probable rodA (alternate gene name: ftsW), cell division protein,integral membrane protein. Belongs to the FTSW/RODA/SPOVE family."
"Rv0018c","MLST+","-","21637..23181","pstP","Phosphoserine/threonine phosphatase PstP","NP_214532.1","Rv0018c, (MTCY10H4.18c), len: 514 aa. PstP,phosphoserine/threonine phosphatase. Experimental studies have shown that PstP specifically dephosporylates model phospho-Ser/Thr substrates and it is likely that PknB (Rv0014c) and PstP may act as a functional pair in vivo to control mycobacterial cell growth (See Boitel et al.,2003)."
"Rv0019c","MLST+","-","23270..23737","fhaB","Conserved protein with FHA domain, FhaB","NP_214533.1","Rv0019c, (MTCY10H4.19c), len: 155 aa. FhaB,conserved protein with forkhead-associated domain (IPR000253), probably involved in signal transduction."
"Rv0020c","Accessory","Gene was not found! (best match 23862..24769, E-value: 0.0, identity: 98.348015, overlap: 57.32323)","23861..25444","fhaA","Conserved protein with FHA domain, FhaA","NP_214534.1","Rv0020c, (MTCY10H4.20c), len: 527 aa. FhaA, TB39.8,conserved protein with forkhead-associated domain (IPR000253) at C-terminus, may be involved in signal transduction. Alternative start codon in position 24979 has been suggested (see citation below). A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."
"Rv0021c","MLST+","-","25913..26881",,"hypothetical protein","NP_214535.1","Rv0021c, (MTCY10H4.21c), len: 322 aa. Conserved hypothetical protein, similar to various proteins."
"Rv0022c","MLST+","-","27023..27442","whiB5","Probable transcriptional regulatory protein WhiB-like WhiB5","NP_214536.1","Rv0022c, (MTCY10H4.22c), len: 139 aa. Probable whiB5 (alternate gene name: whmG), WhiB-like regulatory protein (see citations below), similar to WhiB paralogue of Streptomyces coelicolor, wblE gene product (85 aa)."
"Rv0023","MLST+","-","27595..28365",,"Possible transcriptional regulatory protein","NP_214537.1","Rv0023, (MTCY10H4.23), len: 256 aa. Possible transcriptional regulator. Contains probable helix-turn helix motif from aa 19 to 40 (Score 1615, +4.69 SD)."
"Rv0024","MLST+","-","28362..29207",,"Putative secreted protein P60-related protein","NP_214538.1","Rv0024, (MTCY10H4.24), len: 281 aa. Putative secreted protein, p60 homologue, similar to many. Similar to Mycobacterium tuberculosis proteins Rv1477, Rv1478,Rv1566c, Rv2190c. Could belong to the E. coli NLPC / listeria P60 family."
"Rv0025","MLST+","-","29245..29607",,"hypothetical protein","NP_214539.1","Rv0025, (MTCY10H4.25), len: 120 aa. Conserved hypothetical protein, showing some similarity to other proteins from Mycobacterium tuberculosis e.g. Rv0739 (268 aa), FASTA score: (37.6% identity in 101 aa overlap), and Rv0026 FASTA score: (35.4% identity in 113 aa overlap); etc."
"Rv0026","MLST+","-","29722..31068",,"hypothetical protein","NP_214540.1","Rv0026, (MTCY10H4.26), len: 448 aa. Conserved hypothetical protein, showing some similarity to other proteins from Mycobacterium tuberculosis: Rv0025 FASTA score: (35.4% identity in 113 aa overlap) and Rv0739 (268 aa), FASTA score: (32.4% identity in 142 aa overlap)."
"Rv0027","MLST+","-","31189..31506",,"hypothetical protein","NP_214541.1","Rv0027, (MTCY10H4.27), len: 105 aa. Conserved hypothetical unknown protein."
"Rv0028","MLST+","-","31514..31819",,"hypothetical protein","NP_214542.1","Rv0028, (MTCY10H4.28), len: 101 aa. Conserved hypothetical unknown protein."
"Rv0029","Accessory","Gene was not found! (best match 32332..33099, E-value: 0.0, identity: 100.0, overlap: 69.94536)","32057..33154",,"hypothetical protein","NP_214543.1","Rv0029, (MTCY10H4.29), len: 365 aa. Conserved hypothetical protein, showing some similarity to other proteins from Mycobacterium tuberculosis e.g. C-terminal region of Rv2082; Rv3899c."
"Rv0030","MLST+","-","33224..33553",,"hypothetical protein","NP_214544.1","Rv0030, (MTCY10H4.30), len: 109 aa. Conserved hypothetical unknown protein."
"Rv0031","not used","Excluded in Comas 2010","33582..33794",,"Possible remnant of a transposase","NP_214545.1","Rv0031, (MTCY10H4.31), len: 70 aa. Possible remnant of a transposase, showing partial similarity to mycobacterial transposases in a short overlap, e.g. Rv2791c|MTV002_57 (459 aa), FASTA score: (72.2% identity in 36 aa overlap); Rv2885c, Rv2978c, Rv3827c, etc."
"Rv0032","MLST+","-","34295..36610","bioF2","Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)","NP_214546.1","Rv0032, (MTCY10H4.32), len: 771 aa. Probable bioF2,8-amino-7-oxononanoate synthase, with its C-terminal similar to others. Contains PS00599 Aminotransferases class-II pyridoxal-phosphate attachment site. Belongs to class-II of pyridoxal-phosphate-dependent aminotransferases."
"Rv0033","MLST+","-","36607..36870","acpA","Probable acyl carrier protein AcpA (ACP)","NP_214547.1","Rv0033, (MTCY10H4.33), len: 87 aa. Probable acpA (alternate gene name: acpP), acyl carrier protein, similar to others. Also similar to proteins of Mycobacterium tuberculosis Rv1344 and Rv2244 (31.5% identity in 73 aa overlap)."
